지역,기관,부서,항목1,항목2,상세,금액,예산서 사이트
서울,서울특별시청,디지털도시국 정보시스템과,100-201,01 사무관리비,"기록관 환경정비(향균제 설치)(40,000원*29개*6회)","6,960,000",https://news.seoul.go.kr/gov/archives/category/tax-news_c1/info_budget_c1/data_document_budget-n2
서울,서울특별시청,디지털도시국 정보시스템과,100-201,02 공공운영비,중요기록물 정리사업,"998,419,000",https://news.seoul.go.kr/gov/archives/category/tax-news_c1/info_budget_c1/data_document_budget-n2
서울,서울특별시청,디지털도시국 정보시스템과,100-201,02 공공운영비,기록관리시스템 통합 유지보수,"528,699,000",https://news.seoul.go.kr/gov/archives/category/tax-news_c1/info_budget_c1/data_document_budget-n2
서울,서울특별시청,디지털도시국 정보시스템과,100-207,02 전산개발비,전자기록물 인수 및 검수,"297,677,000",https://news.seoul.go.kr/gov/archives/category/tax-news_c1/info_budget_c1/data_document_budget-n2
서울,서울특별시청,서울기록원 운영지원과,100-201,01 사무관리비,안티바이러스 사용권(갱신)구매,"17,000,000",https://news.seoul.go.kr/gov/archives/category/tax-news_c1/info_budget_c1/data_document_budget-n2
서울,서울특별시청,서울기록원 운영지원과,100-201,02 공공운영비,디지털 아카이브 시스템 유지보수,"284,672,000",https://news.seoul.go.kr/gov/archives/category/tax-news_c1/info_budget_c1/data_document_budget-n2
서울,서울특별시청,서울기록원 운영지원과,100-201,02 공공운영비,상용 S/W 유지보수,"18,933,000",https://news.seoul.go.kr/gov/archives/category/tax-news_c1/info_budget_c1/data_document_budget-n2
서울,서울특별시청,서울기록원 운영지원과,100-207,02 전산개발비,중요 멀티미디어 기록물 디지털화 사업,"265,000,000",https://news.seoul.go.kr/gov/archives/category/tax-news_c1/info_budget_c1/data_document_budget-n2
서울,서울특별시청,서울기록원 운영지원과,100-207,02 전산개발비,차세대 디지털아카이브 시스템 전환 ISMP 수립,"200,000,000",https://news.seoul.go.kr/gov/archives/category/tax-news_c1/info_budget_c1/data_document_budget-n2
서울,서울특별시청,서울기록원 운영지원과,100-201,01 사무관리비,중요기록 인수 및 정리 사업,"356,000,000",https://news.seoul.go.kr/gov/archives/category/tax-news_c1/info_budget_c1/data_document_budget-n2
서울,서울특별시청,서울기록원 운영지원과,100-201,01 사무관리비,기록물 복원처리 용역,"98,000,000",https://news.seoul.go.kr/gov/archives/category/tax-news_c1/info_budget_c1/data_document_budget-n2
서울,서울특별시청,서울기록원 운영지원과,100-201,01 사무관리비,보존서고 환경관리,"28,464,000",https://news.seoul.go.kr/gov/archives/category/tax-news_c1/info_budget_c1/data_document_budget-n2
서울,서울특별시청,서울기록원 운영지원과,100-201,01 사무관리비,서울기록화 사업,"166,000,000",https://news.seoul.go.kr/gov/archives/category/tax-news_c1/info_budget_c1/data_document_budget-n2
서울,서울특별시청,서울기록원 운영지원과,100-201,01 사무관리비,소장 기록물 정리. 기술 및 검색. 탐색도구 개선,"383,146,000",https://news.seoul.go.kr/gov/archives/category/tax-news_c1/info_budget_c1/data_document_budget-n2
서울,서울특별시청,서울기록원 운영지원과,100-201,01 사무관리비,소장 기록물 공개재분류 사업,"200,000,000",https://news.seoul.go.kr/gov/archives/category/tax-news_c1/info_budget_c1/data_document_budget-n2
서울,서울특별시청,서울기록원 운영지원과,100-201,01 사무관리비,소장기록물 정수점검,"383,146,000",https://news.seoul.go.kr/gov/archives/category/tax-news_c1/info_budget_c1/data_document_budget-n2
서울,강동구청,민원행정과,201 일반운영비,01 사무관리비,"중요 종이기록물 전산화 용역비(500원*300,000면)","150,000,000",https://www.gangdong.go.kr/web/newportal/bbs/b_057/147495
서울,강동구청,민원행정과,201 일반운영비,01 사무관리비,"중요 종이기록물 전수조사 용역비(1000원*20,000권)","20,000,000",https://www.gangdong.go.kr/web/newportal/bbs/b_057/147495
서울,강동구청,민원행정과,201 일반운영비,02 공공운영비,보존서고 방역 및 소독 관리,"3,000,000",https://www.gangdong.go.kr/web/newportal/bbs/b_057/147495
서울,강동구청,민원행정과,308 자치단체등이전,07 자치단체간부담금,통합기록관리시스템 유지보수비,"16,548,000",https://www.gangdong.go.kr/web/newportal/bbs/b_057/147495
서울,강동구청,민원행정과,308 자치단체등이전,07 자치단체간부담금,전자기록물 기록관리시스템 이관비,"34,791,000",https://www.gangdong.go.kr/web/newportal/bbs/b_057/147495
서울,강북구청,민원여권과,201 일반운영비,01 사무관리비,"기록관 향균방충제, 향균젤 등 구매((47,300원*114개)+(31,900원*76개))","7,817,000",https://www.gangbuk.go.kr/portal/bbs/B0000121/list.do?menuNo=200396&nttId=165146
서울,강북구청,민원여권과,201 일반운영비,01 사무관리비,기록관 분진제거 및 소독비용,"7,512,000",https://www.gangbuk.go.kr/portal/bbs/B0000121/list.do?menuNo=200396&nttId=165146
서울,강북구청,민원여권과,308 자치단체등이전,07 자치단체간부담금,기록관리시스템 유지보수비,"18,600,000",https://www.gangbuk.go.kr/portal/bbs/B0000121/list.do?menuNo=200396&nttId=165146
서울,강서구청,민원여권과,201 일반운영비,01 사무관리비,기록관 소독용역비(2회),"3,380,000",https://www.gangseo.seoul.kr/s030422
서울,강서구청,민원여권과,308 자치단체등이전,07 자치단체간부담금,통합기록물관리시스템 유지보수,"18,551,000",https://www.gangseo.seoul.kr/gs030422
서울,관악구청,민원여권과,201 일반운영비,01 사무관리비,기록관및기록물소독(1회),"6,000,000",https://www.gwanak.go.kr/site/gwanak/ex/bbs/List.do?cbIdx=442
서울,관악구청,민원여권과,201 일반운영비,01 사무관리비,중요비전자기록물DB구축사업(조달수수료포함),"175,900,000",https://www.gwanak.go.kr/site/gwanak/ex/bbs/List.do?cbIdx=442
서울,관악구청,민원여권과,308 자치단체등이전,07 자치단체간부담금,통합기록물관리시스템유지보수,"18,600,000",https://www.gwanak.go.kr/site/gwanak/ex/bbs/List.do?cbIdx=442
서울,광진구청,민원여권과,201 일반운영비,01 사무관리비,"중요기록물 전산화 사업 용역비(532원*450,000원)","239,400,000",https://www.gwangjin.go.kr/portal/bbs/B0000050/list.do?menuNo=200130
서울,광진구청,민원여권과,201 일반운영비,01 사무관리비,기록관 서고 소독(집중소독),"2,990,000",https://www.gwangjin.go.kr/portal/bbs/B0000050/list.do?menuNo=200130
서울,광진구청,민원여권과,201 일반운영비,01 사무관리비,"기록관 서고 소독(상시소독)(44,000원*36개)","1,584,000",https://www.gwangjin.go.kr/portal/bbs/B0000050/list.do?menuNo=200130
서울,광진구청,민원여권과,308 자치단체등이전,07 자치단체간부담금,기록관리시스템 유지보수 분담금,"18,600,000",https://www.gwangjin.go.kr/portal/bbs/B0000050/list.do?menuNo=200130
서울,구로구청,민원여권과,201 일반운영비,01 사무관리비,"DB구축(600원*569,000면)","341,400,000",https://www.guro.go.kr/www/selectBbsNttView.do?bbsNo=657&nttNo=212622&&pageUnit=10&key=1767&pageIndex=1
서울,구로구청,민원여권과,201 일반운영비,01 사무관리비,"보유기록물 목록 조사(1,500원*34,000권)","51,000,000",https://www.guro.go.kr/www/selectBbsNttView.do?bbsNo=657&nttNo=212622&&pageUnit=10&key=1767&pageIndex=1
서울,구로구청,민원여권과,201 일반운영비,01 사무관리비,서고 일시소독 용역,"4,983,000",https://www.guro.go.kr/www/selectBbsNttView.do?bbsNo=657&nttNo=212622&&pageUnit=10&key=1767&pageIndex=1
서울,구로구청,민원여권과,201 일반운영비,01 사무관리비,서고 상시소독 약제 구매,"2,574,000",https://www.guro.go.kr/www/selectBbsNttView.do?bbsNo=657&nttNo=212622&&pageUnit=10&key=1767&pageIndex=1
서울,구로구청,민원여권과,308 자치단체등이전,07 자치단체간부담금,기록관리시스템 유지보수비,"18,551,000",https://www.guro.go.kr/www/selectBbsNttView.do?bbsNo=657&nttNo=212622&&pageUnit=10&key=1767&pageIndex=1
서울,금천구청,민원여권과,201 일반운영비,01 사무관리비,기록관 일시소독비,"2,387,000",https://www.geumcheon.go.kr/portal/contents.do?key=265
서울,금천구청,민원여권과,201 일반운영비,01 사무관리비,기록관 상시소독비,"1,320,000",https://www.geumcheon.go.kr/portal/contents.do?key=265
서울,금천구청,민원여권과,308 자치단체등이전,07 자치단체간부담금,기록관리시스템 S/W 유지보수비,"25,418,000",https://www.geumcheon.go.kr/portal/contents.do?key=265
서울,노원구청,민원여권과,201 일반운영비,01 사무관리비,종합서고 집중소독,"4,500,000",https://www.nowon.kr/www/administ/administ5/administ5_01.jsp
서울,노원구청,민원여권과,201 일반운영비,01 사무관리비,이관 및 중요기록물 전자화,"326,490,000",https://www.nowon.kr/www/administ/administ5/administ5_01.jsp
서울,노원구청,민원여권과,308 자치단체등이전,07 자치단체간부담금,기록관리시스템 분담금,"24,152,000",https://www.nowon.kr/www/administ/administ5/administ5_01.jsp
서울,동대문구청,민원여권과,201 일반운영비,01 사무관리비,기록관 유지관리(소독 등)(2회),"6,000,000",https://www.ddm.go.kr/www/contents.do?key=3684
서울,동대문구청,민원여권과,308 자치단체등이전,07 자치단체간부담금,통합기록관리시스템 유지보수 분담금,"18,600,000",https://www.ddm.go.kr/www/contents.do?key=3684
서울,동작구청,민원여권과,201 일반운영비,01 사무관리비,종합문서고 일시소독 및 상시소독,"9,548,000",https://www.dongjak.go.kr/portal/bbs/B0000082/list.do?menuNo=200121
서울,동작구청,민원여권과,201 일반운영비,01 사무관리비,약수도서관 상도문서고 기록물 이송용역,"7,797,000",https://www.dongjak.go.kr/portal/bbs/B0000082/list.do?menuNo=200121
서울,동작구청,민원여권과,308 자치단체등이전,07 자치단체간부담금,통합기록관리시스템 자치구별 분담금,"18,600,000",https://www.dongjak.go.kr/portal/bbs/B0000082/list.do?menuNo=200121
서울,마포구청,민원여권과,201 일반운영비,01 사무관리비,"문서소독제(20,000원*11개*12월)","2,640,000",https://www.mapo.go.kr/site/main/content/mapo03020301
서울,마포구청,민원여권과,207 연구개발비,02 전산개발비,중요기록물 전산화사업,"220,000,000",https://www.mapo.go.kr/site/main/content/mapo03020301
서울,마포구청,민원여권과,308 자치단체등이전,07 자치단체간부담금,통합기록관리시스템 유지보수 및 전자기록물 이관인수,"60,994,000",https://www.mapo.go.kr/site/main/content/mapo03020301
서울,서대문구청,기획예산과,null,null,미업로드,null,https://www.sdm.go.kr/admininfo/budget/document2.do
서울,서초구청,오-케이민원센터,201 일반운영비,01 사무관리비,"보존서고 집중소독(2,100,000원*2개소)","4,000,000",https://www.seocho.go.kr/site/seocho/ex/bbs/List.do?cbIdx=31
서울,서초구청,오-케이민원센터,201 일반운영비,01 사무관리비,"보존서고 상시소독제(105,000원*12개월)","1,140,000",https://www.seocho.go.kr/site/seocho/ex/bbs/List.do?cbIdx=31
서울,서초구청,오-케이민원센터,308 자치단체등이전,07 자치단체간부담금,통합기록관리시스템유지보수 분담금,"16,548,000",https://www.seocho.go.kr/site/seocho/ex/bbs/List.do?cbIdx=31
서울,성동구청,민원여권과,201 일반운영비,01 사무관리비,종합문서고 분진 제거 및 일시소독(1회),"1,500,000",https://www.sd.go.kr/main/selectBbsNttList.do?bbsNo=171&key=1328&
서울,성동구청,민원여권과,201 일반운영비,01 사무관리비,"천연향균(소독)제(45,000원*50개)","2,250,000",https://www.sd.go.kr/main/selectBbsNttList.do?bbsNo=171&key=1328&
서울,성동구청,민원여권과,201 일반운영비,01 사무관리비,정부합동평가대비필수기록물정리(1회),"22,000,000",https://www.sd.go.kr/main/selectBbsNttList.do?bbsNo=171&key=1328&
서울,성동구청,민원여권과,308 자치단체등이전,07 자치단체간부담금,서울시 통합기록관리시스템 유지보수,"18,600,000",https://www.sd.go.kr/main/selectBbsNttList.do?bbsNo=171&key=1328&
서울,성북구청,민원여권과,201 일반운영비,01 사무관리비,기록관 향균소독(청소 및 소독비),"2,948,000",https://www.sb.go.kr/PageLink.do
서울,성북구청,민원여권과,201 일반운영비,01 사무관리비,"기록관 향균소독(상시 향균소독제(44,000원*24개))","1,056,000",https://www.sb.go.kr/PageLink.do
서울,성북구청,민원여권과,308 자치단체등이전,07 자치단체간부담금,기록관리시스템 유지보수 분담비,"16,617,000",https://www.sb.go.kr/PageLink.do
